id_station	id_point_de_mesure	id_operation_mesure	id_serie_de_mesure	date	temperature	Annee	Mois	Jour	Heure	Minute	Seconde
1589	1619	1225	1360	2008-10-26 07:54:40	6.179	2008	10	26	7	54	40
1589	1619	1225	1360	2008-10-26 08:54:40	6.102	2008	10	26	8	54	40
1589	1619	1225	1360	2008-10-26 09:54:40	6.23	2008	10	26	9	54	40
1589	1619	1225	1360	2008-10-26 10:54:40	6.611	2008	10	26	10	54	40
1589	1619	1225	1360	2008-10-26 11:54:40	7.293	2008	10	26	11	54	40
1589	1619	1225	1360	2008-10-26 12:54:40	8.02	2008	10	26	12	54	40
1589	1619	1225	1360	2008-10-26 13:54:40	8.841	2008	10	26	13	54	40
1589	1619	1225	1360	2008-10-26 14:54:40	9.41	2008	10	26	14	54	40
1589	1619	1225	1360	2008-10-26 15:54:40	9.682	2008	10	26	15	54	40
1589	1619	1225	1360	2008-10-26 16:54:40	9.756	2008	10	26	16	54	40
1589	1619	1225	1360	2008-10-26 17:54:40	9.608	2008	10	26	17	54	40
1589	1619	1225	1360	2008-10-26 18:54:40	9.336	2008	10	26	18	54	40
1589	1619	1225	1360	2008-10-26 19:54:40	9.04	2008	10	26	19	54	40
1589	1619	1225	1360	2008-10-26 20:54:40	8.742	2008	10	26	20	54	40
1589	1619	1225	1360	2008-10-26 21:54:40	8.444	2008	10	26	21	54	40
1589	1619	1225	1360	2008-10-26 22:54:40	8.17	2008	10	26	22	54	40
1589	1619	1225	1360	2008-10-26 23:54:40	7.92	2008	10	26	23	54	40
1589	1619	1225	1360	2008-10-27 00:54:40	7.695	2008	10	27	0	54	40
1589	1619	1225	1360	2008-10-27 01:54:40	7.519	2008	10	27	1	54	40
1589	1619	1225	1360	2008-10-27 02:54:40	7.444	2008	10	27	2	54	40
1589	1619	1225	1360	2008-10-27 03:54:40	7.419	2008	10	27	3	54	40
1589	1619	1225	1360	2008-10-27 04:54:40	7.419	2008	10	27	4	54	40
1589	1619	1225	1360	2008-10-27 05:54:40	7.444	2008	10	27	5	54	40
1589	1619	1225	1360	2008-10-27 06:54:40	7.519	2008	10	27	6	54	40
1589	1619	1225	1360	2008-10-27 07:54:40	7.645	2008	10	27	7	54	40
1589	1619	1225	1360	2008-10-27 08:54:40	7.845	2008	10	27	8	54	40
1589	1619	1225	1360	2008-10-27 09:54:40	8.095	2008	10	27	9	54	40
1589	1619	1225	1360	2008-10-27 10:54:40	8.344	2008	10	27	10	54	40
1589	1619	1225	1360	2008-10-27 11:54:40	8.519	2008	10	27	11	54	40
1589	1619	1225	1360	2008-10-27 12:54:40	8.643	2008	10	27	12	54	40
1589	1619	1225	1360	2008-10-27 13:54:40	8.941	2008	10	27	13	54	40
1589	1619	1225	1360	2008-10-27 14:54:40	9.114	2008	10	27	14	54	40
1589	1619	1225	1360	2008-10-27 15:54:40	9.213	2008	10	27	15	54	40
1589	1619	1225	1360	2008-10-27 16:54:40	9.238	2008	10	27	16	54	40
1589	1619	1225	1360	2008-10-27 17:54:40	9.262	2008	10	27	17	54	40
1589	1619	1225	1360	2008-10-27 18:54:40	9.262	2008	10	27	18	54	40
1589	1619	1225	1360	2008-10-27 19:54:40	9.238	2008	10	27	19	54	40
1589	1619	1225	1360	2008-10-27 20:54:40	9.213	2008	10	27	20	54	40
1589	1619	1225	1360	2008-10-27 21:54:40	9.188	2008	10	27	21	54	40
1589	1619	1225	1360	2008-10-27 22:54:40	9.064	2008	10	27	22	54	40
1589	1619	1225	1360	2008-10-27 23:54:40	8.941	2008	10	27	23	54	40
1589	1619	1225	1360	2008-10-28 00:54:40	8.792	2008	10	28	0	54	40
1589	1619	1225	1360	2008-10-28 01:54:40	8.693	2008	10	28	1	54	40
1589	1619	1225	1360	2008-10-28 02:54:40	8.568	2008	10	28	2	54	40
1589	1619	1225	1360	2008-10-28 03:54:40	8.494	2008	10	28	3	54	40
1589	1619	1225	1360	2008-10-28 04:54:40	8.444	2008	10	28	4	54	40
1589	1619	1225	1360	2008-10-28 05:54:40	8.394	2008	10	28	5	54	40
1589	1619	1225	1360	2008-10-28 06:54:40	8.344	2008	10	28	6	54	40
1589	1619	1225	1360	2008-10-28 07:54:40	8.27	2008	10	28	7	54	40
1589	1619	1225	1360	2008-10-28 08:54:40	8.22	2008	10	28	8	54	40
1589	1619	1225	1360	2008-10-28 09:54:40	8.17	2008	10	28	9	54	40
1589	1619	1225	1360	2008-10-28 10:54:40	8.145	2008	10	28	10	54	40
1589	1619	1225	1360	2008-10-28 11:54:40	8.12	2008	10	28	11	54	40
1589	1619	1225	1360	2008-10-28 12:54:40	8.095	2008	10	28	12	54	40
1589	1619	1225	1360	2008-10-28 13:54:40	8.07	2008	10	28	13	54	40
1589	1619	1225	1360	2008-10-28 14:54:40	8.095	2008	10	28	14	54	40
1589	1619	1225	1360	2008-10-28 15:54:40	8.07	2008	10	28	15	54	40
1589	1619	1225	1360	2008-10-28 16:54:40	8.045	2008	10	28	16	54	40
1589	1619	1225	1360	2008-10-28 17:54:40	7.995	2008	10	28	17	54	40
1589	1619	1225	1360	2008-10-28 18:54:40	7.895	2008	10	28	18	54	40
1589	1619	1225	1360	2008-10-28 19:54:40	7.77	2008	10	28	19	54	40
1589	1619	1225	1360	2008-10-28 20:54:40	7.67	2008	10	28	20	54	40
1589	1619	1225	1360	2008-10-28 21:54:40	7.544	2008	10	28	21	54	40
1589	1619	1225	1360	2008-10-28 22:54:40	7.444	2008	10	28	22	54	40
1589	1619	1225	1360	2008-10-28 23:54:40	7.318	2008	10	28	23	54	40
1589	1619	1225	1360	2008-10-29 00:54:40	7.217	2008	10	29	0	54	40
1589	1619	1225	1360	2008-10-29 01:54:40	7.091	2008	10	29	1	54	40
1589	1619	1225	1360	2008-10-29 02:54:40	6.99	2008	10	29	2	54	40
1589	1619	1225	1360	2008-10-29 03:54:40	6.889	2008	10	29	3	54	40
1589	1619	1225	1360	2008-10-29 04:54:40	6.788	2008	10	29	4	54	40
1589	1619	1225	1360	2008-10-29 05:54:40	6.712	2008	10	29	5	54	40
1589	1619	1225	1360	2008-10-29 06:54:40	6.611	2008	10	29	6	54	40
1589	1619	1225	1360	2008-10-29 07:54:40	6.535	2008	10	29	7	54	40
1589	1619	1225	1360	2008-10-29 08:54:40	6.433	2008	10	29	8	54	40
1589	1619	1225	1360	2008-10-29 09:54:40	6.382	2008	10	29	9	54	40
1589	1619	1225	1360	2008-10-29 10:54:40	6.382	2008	10	29	10	54	40
1589	1619	1225	1360	2008-10-29 11:54:40	6.433	2008	10	29	11	54	40
1589	1619	1225	1360	2008-10-29 12:54:40	6.661	2008	10	29	12	54	40
1589	1619	1225	1360	2008-10-29 13:54:40	6.687	2008	10	29	13	54	40
1589	1619	1225	1360	2008-10-29 14:54:40	6.737	2008	10	29	14	54	40
1589	1619	1225	1360	2008-10-29 15:54:40	6.788	2008	10	29	15	54	40
1589	1619	1225	1360	2008-10-29 16:54:40	6.737	2008	10	29	16	54	40
1589	1619	1225	1360	2008-10-29 17:54:40	6.687	2008	10	29	17	54	40
1589	1619	1225	1360	2008-10-29 18:54:40	6.585	2008	10	29	18	54	40
1589	1619	1225	1360	2008-10-29 19:54:40	6.458	2008	10	29	19	54	40
1589	1619	1225	1360	2008-10-29 20:54:40	6.382	2008	10	29	20	54	40
1589	1619	1225	1360	2008-10-29 21:54:40	6.255	2008	10	29	21	54	40
1589	1619	1225	1360	2008-10-29 22:54:40	6.179	2008	10	29	22	54	40
1589	1619	1225	1360	2008-10-29 23:54:40	6.128	2008	10	29	23	54	40
1589	1619	1225	1360	2008-10-30 00:54:40	6.077	2008	10	30	0	54	40
1589	1619	1225	1360	2008-10-30 01:54:40	6.051	2008	10	30	1	54	40
1589	1619	1225	1360	2008-10-30 02:54:40	5.821	2008	10	30	2	54	40
1589	1619	1225	1360	2008-10-30 03:54:40	5.565	2008	10	30	3	54	40
1589	1619	1225	1360	2008-10-30 04:54:40	5.36	2008	10	30	4	54	40
1589	1619	1225	1360	2008-10-30 05:54:40	5.257	2008	10	30	5	54	40
1589	1619	1225	1360	2008-10-30 06:54:40	5.102	2008	10	30	6	54	40
1589	1619	1225	1360	2008-10-30 07:54:40	4.973	2008	10	30	7	54	40
1589	1619	1225	1360	2008-10-30 08:54:40	4.869	2008	10	30	8	54	40
1589	1619	1225	1360	2008-10-30 09:54:40	4.895	2008	10	30	9	54	40
1589	1619	1225	1360	2008-10-30 10:54:40	4.973	2008	10	30	10	54	40
1589	1619	1225	1360	2008-10-30 11:54:40	5.024	2008	10	30	11	54	40
1589	1619	1225	1360	2008-10-30 12:54:40	5.102	2008	10	30	12	54	40
1589	1619	1225	1360	2008-10-30 13:54:40	5.102	2008	10	30	13	54	40
1589	1619	1225	1360	2008-10-30 14:54:40	5.282	2008	10	30	14	54	40
1589	1619	1225	1360	2008-10-30 15:54:40	5.693	2008	10	30	15	54	40
1589	1619	1225	1360	2008-10-30 16:54:40	5.693	2008	10	30	16	54	40
1589	1619	1225	1360	2008-10-30 17:54:40	5.668	2008	10	30	17	54	40
1589	1619	1225	1360	2008-10-30 18:54:40	5.565	2008	10	30	18	54	40
1589	1619	1225	1360	2008-10-30 19:54:40	5.514	2008	10	30	19	54	40
1589	1619	1225	1360	2008-10-30 20:54:40	5.488	2008	10	30	20	54	40
1589	1619	1225	1360	2008-10-30 21:54:40	5.539	2008	10	30	21	54	40
1589	1619	1225	1360	2008-10-30 22:54:40	5.591	2008	10	30	22	54	40
